"case","backend","context","completion_tokens","eval_tps","prompt_tps","wall_tps","draft_acceptance","draft_accepted","draft_generated","ngram_accepted","log"
"hip-mtp-n2-t24","hip","262144","256","19.71","44.27","17.73","0.77","154","200","0","C:\Users\Jun\AppData\Local\Temp\hip-mtp-n2-t24-f8ba69ea.err.log"
"hip-mtp-n2-t28","hip","262144","256","21.8","52.69","19.79","0.7451","152","204","0","C:\Users\Jun\AppData\Local\Temp\hip-mtp-n2-t28-c46f24f5.err.log"
"hip-mtp-n3-t24","hip","262144","256","21.7","30.97","18.52","0.6693","170","254","0","C:\Users\Jun\AppData\Local\Temp\hip-mtp-n3-t24-9020aa2b.err.log"
"hip-mtp-n4-t24","hip","262144","256","19.68","70.5","18.41","0.5836","178","305","0","C:\Users\Jun\AppData\Local\Temp\hip-mtp-n4-t24-a05e20f6.err.log"
"hip-mtp-n2-t24-ub512","hip","262144","256","22.76","67.02","21","0.8135","157","193","0","C:\Users\Jun\AppData\Local\Temp\hip-mtp-n2-t24-ub512-0d388e71.err.log"
"hip-mtp-n2-t24-ub1536","hip","262144","256","22.39","68.41","20.72","0.7789","155","199","0","C:\Users\Jun\AppData\Local\Temp\hip-mtp-n2-t24-ub1536-85d7b9c1.err.log"
"hip-mtp-n2-t24-ub2048","hip","262144","256","21.32","46.99","19.17","0.7143","150","210","0","C:\Users\Jun\AppData\Local\Temp\hip-mtp-n2-t24-ub2048-f11b29f8.err.log"
