"case","backend","context","completion_tokens","eval_tps","prompt_tps","wall_tps","draft_acceptance","draft_accepted","draft_generated","ngram_accepted","log"
"hip-mtp-n3-t24-ub512","hip","262144","256","53.81","179.33","49.93","0.6964","172","247","0","C:\Users\Jun\AppData\Local\Temp\hip-mtp-n3-t24-ub512-6f36ab33.err.log"
"hip-mtp-n3-t24-ub1024","hip","262144","256","55.29","184.45","51.37","0.7061","173","245","0","C:\Users\Jun\AppData\Local\Temp\hip-mtp-n3-t24-ub1024-5b86ccd7.err.log"
"hip-mtp-n3-t24-ub1536","hip","262144","256","52.58","173.21","48.82","0.7061","173","245","0","C:\Users\Jun\AppData\Local\Temp\hip-mtp-n3-t24-ub1536-abc3c65a.err.log"
"hip-mtp-n3-t24-ub2048","hip","262144","256","53.34","166.36","49.35","0.7061","173","245","0","C:\Users\Jun\AppData\Local\Temp\hip-mtp-n3-t24-ub2048-9043be3d.err.log"
"hip-mtp-n4-t24-ub512","hip","262144","256","51.38","176.14","47.84","0.6276","182","290","0","C:\Users\Jun\AppData\Local\Temp\hip-mtp-n4-t24-ub512-e29bc170.err.log"
"hip-mtp-n4-t24-ub1024","hip","262144","256","52.53","176.67","48.85","0.6276","182","290","0","C:\Users\Jun\AppData\Local\Temp\hip-mtp-n4-t24-ub1024-894aaa8a.err.log"
"hip-mtp-n4-t24-ub1536","hip","262144","256","53.35","179.47","49.6","0.6399","183","286","0","C:\Users\Jun\AppData\Local\Temp\hip-mtp-n4-t24-ub1536-f45ed72f.err.log"
"hip-mtp-n4-t24-ub2048","hip","262144","256","52.95","173.77","49.16","0.6399","183","286","0","C:\Users\Jun\AppData\Local\Temp\hip-mtp-n4-t24-ub2048-3cce97c0.err.log"
