"case","backend","context","kv_unified","mlock","metrics","fit_off","cache_ram","completion_tokens","eval_tps","prompt_tps","wall_tps","draft_acceptance","draft_accepted","draft_generated","ngram_accepted","log"
"hip-mtp-n3-t28-ub1024","hip","262144","False","False","False","False","0","512","37.94","128.18","36.54","0.6928","345","498","0","C:\Users\Jun\AppData\Local\Temp\hip-mtp-n3-t28-ub1024-f53895d5.err.log"
"hip-no-mtp-t28-ub1024","hip","262144","False","False","False","False","0","512","26.31","159.01","25.77","0","0","0","0","C:\Users\Jun\AppData\Local\Temp\hip-no-mtp-t28-ub1024-73d7ea06.err.log"
